Team,Conference,SOS,Prev SOS,Adj. RPI,Adj. RPI Value,RPI,RPI Value,WL,Adj. Non-Conf RPI,Non-Conf Record,Conf RPI,Conf. Record,Road WL,Last 10 Games,RPI 1-25,RPI 26-50,RPI 51-100,RPI 101+,vs TOP 100,vs below 150,NC SOS,NC SOS Value,advanced
Quinnipiac,MAAC,284,284,286,0.38596,286,0.39436,12-29,279,7-14,28,5-15,2-17,2-8,0-0,0-0,0-1,12-28,0-1,12-24,287,0.39591,0
Coppin St.,MEAC,285,285,298,0.3481,298,0.3579,8-37,300,0-21,32,8-16,2-21,5-5,0-0,0-0,0-4,8-33,0-4,8-29,215,0.46694,0
Abilene Christian,WAC,286,286,220,0.44486,219,0.45046,25-26,248,10-15,20,15-11,10-11,6-4,0-0,0-4,1-0,24-22,1-4,19-15,283,0.40194,0
Wagner,NEC,287,287,270,0.40092,265,0.41352,19-29,284,7-17,30,12-12,8-18,3-7,0-0,0-0,0-0,19-29,0-0,19-24,279,0.40935,0
Southern U.,SWAC,288,289,290,0.38064,292,0.38624,14-32,275,2-16,31,12-16,3-15,5-5,0-0,0-2,0-8,14-22,0-10,14-19,73,0.54322,0
Delaware St.,MEAC,289,288,300,0.32783,300,0.33833,4-32,293,1-15,32,3-17,1-13,1-9,0-0,0-1,0-3,4-28,0-4,3-25,173,0.48725,0
Morgan St.,MEAC,290,291,178,0.47275,176,0.47625,30-15,176,11-10,32,19-5,13-6,8-2,0-0,0-0,0-0,30-15,0-0,30-10,229,0.46132,0
Holy Cross,Patriot,291,290,273,0.3985,262,0.4188,21-29,276,13-19,26,8-10,8-17,8-2,0-0,0-0,0-8,21-21,0-8,21-18,289,0.39204,0
Saint Peter's,MAAC,292,292,292,0.37284,276,0.40574,22-33,292,15-20,28,7-13,12-19,4-6,0-0,0-0,0-0,22-33,0-0,21-27,297,0.375,0
Fairleigh Dickinson,NEC,293,293,256,0.41917,253,0.42897,24-25,277,10-15,30,14-10,13-11,5-5,0-0,0-0,0-2,24-23,0-2,22-22,292,0.3832,0
UMES,MEAC,294,294,294,0.36698,290,0.38938,18-33,298,5-23,32,13-10,6-15,4-6,0-0,0-0,0-3,18-30,0-3,17-27,274,0.41678,0
Green Bay,Horizon,295,295,252,0.42358,251,0.43058,25-25,288,8-13,29,17-12,13-13,5-5,0-0,0-0,0-0,25-25,0-0,24-21,301,0.33743,0
Youngstown St.,Horizon,296,296,238,0.43264,226,0.44594,32-24,257,15-13,29,17-11,14-13,6-4,0-0,0-1,0-0,32-23,0-1,31-19,298,0.3622,0
Alabama A&M,SWAC,297,297,283,0.38898,288,0.39038,14-24,259,3-6,31,11-18,6-13,6-4,0-0,0-0,0-3,14-21,0-3,14-20,266,0.42804,0
Texas Southern,SWAC,298,298,244,0.42834,246,0.43324,24-20,287,3-17,31,21-3,11-13,7-3,0-0,0-4,0-2,24-14,0-6,24-13,201,0.47549,0
Prairie View,SWAC,299,299,285,0.38633,285,0.39473,20-28,297,3-19,31,17-9,8-16,8-2,0-0,0-0,0-3,20-25,0-3,20-23,232,0.455,1
Norfolk St.,MEAC,300,300,255,0.42167,245,0.43357,32-23,266,13-16,32,19-7,9-9,4-6,0-0,0-0,0-3,32-20,0-3,32-18,296,0.37751,0
Grambling,SWAC,301,301,297,0.35945,297,0.36505,13-23,301,0-8,31,13-15,1-14,3-7,0-0,0-0,0-0,13-23,0-0,13-19,273,0.41758,0
